name;harmonized keywords
automated manufacturing systems;automated manufacturing system
Automated meter reader;automated meter reader
Automated model fitting;automated model fitting
Automated Model Fitting;automated model fitting
automated modelling;automated modeling
automated optical inspection;automated optical inspection
Automated optical inspection;automated optical inspection
automated order processing;automated order processing
automated packaging system;automated packaging system
Automated polishing;automated polishing
Automated Process Control System (APCS);automated process control system 
automated process planning;automated process planning
automated production;automated production
Automated production systems;automated production system
Automated replication;automated replication
automated stock handling systems;automated stock handling system
AS/RS;automated storage and retrieval system
Automated storage and retrieval system;automated storage and retrieval system
Automated storage and retrieval systems;automated storage and retrieval system
Automated supply chain;automated supply chain
Automated systems;automated system
automated systems;automated system
Automated test equipment (ATE);automated test equipment 
Automatic;automatic
Automatic berthing;automatic berthing
Automatic control principle;automatic control principle
automatic data capture;automatic data capture
Automatic exchange;automatic exchange
Automatic factory;automatic factory
Automatic feature construction;automatic feature construction
Automatic focusing;automatic focusing
Auto-ID;automatic identification
automatic identification;automatic identification
Automatic identification;automatic identification
Automatic loading and unloading;automatic loading and unloading
Automatic model creation;automatic model creation
automatic model generation;automatic model generation
Automatic Model Generation;automatic model generation
Automatic process control;automatic process control
automatic testing;automatic testing
Automatic testing;automatic testing
automatic virtual metrology (AVM);automatic virtual metrology 
Automatic guided vehicle (AGV);automatical guided vehicle 
Automation;automation
automation;automation
Automation acceptance;automation acceptance
AAMT selection;automation and advanced manufacturing technology selection
Automation architecture;automation architecture
Automation Coal face;automation coal face
automation devices;automation device
Automation Networks;automation network
automation of production;automation of production
automation pyramid;automation pyramid
Automation system;automation system
automation system;automation system
automation systems;automation system
Automation systems;automation system
Automation Systems;automation system
Automation System Security;automation system security
Automation technologies;automation technology
Automation technology;automation technology
Automation technology (AT);automation technology
Automation transportation system;automation transportation system
AutomationML;AutomationML
AutomationML (AML);AutomationML
Automatization;automatization
automatization;automatization
Automobile foundry;automobile foundry
automobile industry;automobile industry
Automobile industry;automobile industry
Automotive;automotive
automotive;automotive
Automotive alliances;automotive alliance
Automotive applications;automotive application
Automotive assembly;automotive assembly
Automotive assembly factory;automotive assembly factory
Automotive assembly line;automotive assembly line
Automotive carling;automotive carling
Automotive components;automotive component
Automotive Engineering;automotive engineering
Automotive framing systems;automotive framing system
Automotive industry;automotive industry
automotive industry;automotive industry
Automotive manufacturing;automotive manufacturing
Automotive manufacturing and assembly;automotive manufacturing and assembly
Automotive Panel;automotive panel
Automotive part and accessory manufacturers;automotive part and accessory manufacturer
Automotive sector;automotive sector
Autonomic Computing;autonomic computing
Autonomic computing;autonomic computing
autonomous channel switching;autonomous channel switching
Autonomous channel switching;autonomous channel switching
Autonomous Control;autonomous control
Autonomous control;autonomous control
Autonomous lab-on-a-chip;autonomous lab on a chip
Autonomous Logistics;autonomous logistic
Autonomous manufacturing system;autonomous manufacturing system
Autonomous mobile robots;autonomous mobile robot
Autonomous operation;autonomous operation
Autonomous robotic systems;autonomous robotic system
autonomous systems;autonomous system
Autonomous systems;autonomous system
ASN attack;autonomous system number attack
Autonomous transportation System;autonomous transportation system
AUV;autonomous underwater vehicle
autonomous vehicles;autonomous vehicule 
Autonomous Video Surveillance;autonomous video surveillance
Autonomy;autonomy
autonomy;autonomy
Auxiliary model strategy;auxiliary model strategy
availability;availability
Average surface roughness;average surface roughness
Aviation;aviation
Aviation industry;aviation industry
Awareness;awareness
AWI;AWI 
Axiomatic design;axiomatic design
Axiomatic design (AD);axiomatic design
Axiomatic design for large flexible systems;axiomatic design for large flexible system
Axiomatic design theory;axiomatic design theory
B2B projects;B2S
Back-projection;back projection
Backpropagation;back propagation
Back-Propagation neural network;back propagation artificial neutral network
Background;background
background pressure;background pressure
Backhaul;backhaul
Backward Customization;backward and forward linkage
backward and forward linkages;backward and forward linkage
BACNet;backward customization
Bad pixel;bad pixel
Bagasse;bagasse
Baggage handling system;baggage handling system
Bagging;bagging
ball mill;ball mill
Ball Screw;ball Screw
Balloons;balloon
Balun;balun
Bar code;bar code
Barriers;barrier
barriers;barrier
Bartlett School of Architecture;bartlett school of architecture
Base/Bottom of Pyramid;base or bottom of pyramid
Basic components;basic component
basic event;basic event
basic income;basic income
basic shared technology;basic shared technology
Batch Control;batch control
Batch manufacturing;batch manufacturing
batch processes;batch process
Batch processes;batch process
Batch Scheduling;batch scheduling
Batteries;battery
battery manufacturing;battery consumption
Battery manufacturing;battery manufacturing
battery module assembly;battery module assembly
BAY 81-8973;BAY 81-8973
Bayesian approach;bayesian approach
Bayesian network;bayesian network
Bayesian Network;bayesian network
Bayesian networks;bayesian network
Bayesian reliability;bayesian reliability
Beacon;beacon
Bead-Based Deposition Processes;bead based deposition process
Beam hardening;beam hardening
beam shaping;beam shaping
Beam structure;beam structure
beamforming;beamforming
Beamwidth;beamwidth
Bearing;bearing
bearing;bearing
bearing fault diagnosis;bearing fault diagnosis
Bearings components;bearings component
Beginning of life;beginning of life
Behavior;behavior
behavioral variables;behavioral variable
behaviour model;behaviour model
behaviour simulation;behaviour simulation
Behavioural decision making;behavioural decision making
Beijing-Tianjin-Hebei urban economic circle;beijing tianjin hebei urban economic circle
Beijing-Tianjin-Hebei Urban Economic Circle;beijing tianjin hebei urban economic circle
Belgium;Belgium
Ben van Berkel;ben van berkel
Benchmark;benchmark
Benchmark learning;benchmark learning
Benchmark testing;benchmark testing
Benchmarking;benchmarking
benchmarking;benchmarking
Benchmarking and performance evaluation;benchmarking and performance evaluation
Bend test;bend test
Bending;bending
Benefit;benefit
benefit;benefit
benefits realized;benefits realized
Benefits realized;benefits realized
Benzene-toluene-xylene (BTX);benzene toluene xylene 
bernoulli distribution;bernoulli distribution
beryllium brazing;beryllium brazing
Bespoke;bespoke
Bespoke fixtures;bespoke fixture
Best grouping;best grouping
Best practice;best practice
Best Practices;best practice
